INSERT INTO RegistroInterventi(Tecnico, Richiesta, Intervento) VALUES
('CTJOVK64H91O146H', 0126, 0003),
('TEFJVI96G02K810Z', 0127, 0001),
('GLIMAV29E31B520O', 0128, 0001),
('VGYBUT84J41H814C', 0128, 0002),
('XKDCTP56B47P209H', 0129, 0001),
('NKXZYL65D42E238A', 0129, 0002),
('CTJOVK64H91O146H', 0130, 0001),
('NKXZYL65D42E238A', 0130, 0002),
('IGXEDP10I73J564L', 0131, 0001),
('CGPMNF06K15T392P', 0132, 0001),
('UJHLTI86P60P714M', 0132, 0002),
('NKXZYL65D42E238A', 0133, 0001),
('IOVYGZ84G25I235Q', 0134, 0001),
('NKXZYL65D42E238A', 0134, 0002),
('NKXZYL65D42E238A', 0135, 0001),
('IGXEDP10I73J564L', 0136, 0001),
('AOHKMV73J84Q368L', 0137, 0001),
('TEFJVI96G02K810Z', 0137, 0002),
('TEFJVI96G02K810Z', 0138, 0001),
('AOHKMV73J84Q368L', 0139, 0001),
('AOHKMV73J84Q368L', 0139, 0002),
('IGXEDP10I73J564L', 0140, 0001),
('IGXEDP10I73J564L', 0141, 0001),
('TEFJVI96G02K810Z', 0142, 0001),
('AOHKMV73J84Q368L', 0142, 0002),
('KNOYAI45L56R691S', 0142, 0003),
('XCATMI90N20B604S', 0143, 0001),
('NKXZYL65D42E238A', 0143, 0002),
('XKDCTP56B47P209H', 0143, 0003),
('GLIMAV29E31B520O', 0144, 0001),
('CGPMNF06K15T392P', 0145, 0001),
('TWAJOK98R58Y714P', 0145, 0002),
('AOHKMV73J84Q368L', 0146, 0001),
('AOHKMV73J84Q368L', 0146, 0002),
('AOHKMV73J84Q368L', 0146, 0003),
('AOHKMV73J84Q368L', 0147, 0001),
('AOHKMV73J84Q368L', 0147, 0002),
('AOHKMV73J84Q368L', 0147, 0003),
('IGXEDP10I73J564L', 0148, 0001),
('AOHKMV73J84Q368L', 0149, 0001),
('AOHKMV73J84Q368L', 0149, 0002),
('AOHKMV73J84Q368L', 0149, 0003),
('AOHKMV73J84Q368L', 0150, 0001),
('IOVYGZ84G25I235Q', 0151, 0001),
('TEFJVI96G02K810Z', 0152, 0001),
('TEFJVI96G02K810Z', 0152, 0002),
('NKXZYL65D42E238A', 0153, 0001),
('XKDCTP56B47P209H', 0153, 0002),
('NKXZYL65D42E238A', 0154, 0001),
('IOVYGZ84G25I235Q', 0154, 0002),
('KNOYAI45L56R691S', 0155, 0001),
('NKXZYL65D42E238A', 0156, 0001),
('NKXZYL65D42E238A', 0156, 0002),
('IOVYGZ84G25I235Q', 0156, 0003),
('KNOYAI45L56R691S', 0157, 0001),
('KNOYAI45L56R691S', 0157, 0002),
('KNOYAI45L56R691S', 0157, 0003),
('NKXZYL65D42E238A', 0158, 0001),
('NKXZYL65D42E238A', 0159, 0001),
('XCATMI90N20B604S', 0159, 0002),
('XCATMI90N20B604S', 0159, 0003),
('XCATMI90N20B604S', 0160, 0001),
('NKXZYL65D42E238A', 0160, 0002),
('AOHKMV73J84Q368L', 0161, 0001),
('AOHKMV73J84Q368L', 0161, 0002),
('UJHLTI86P60P714M', 0162, 0001),
('AOHKMV73J84Q368L', 0163, 0001),
('AOHKMV73J84Q368L', 0163, 0002),
('AOHKMV73J84Q368L', 0163, 0003),
('IOVYGZ84G25I235Q', 0164, 0001),
('NKXZYL65D42E238A', 0164, 0002),
('NKXZYL65D42E238A', 0164, 0003),
('IGXEDP10I73J564L', 0165, 0001),
('AOHKMV73J84Q368L', 0166, 0001),
('TEFJVI96G02K810Z', 0167, 0001),
('KNOYAI45L56R691S', 0167, 0002),
('AOHKMV73J84Q368L', 0167, 0003),
('GLIMAV29E31B520O', 0168, 0001),
('IGXEDP10I73J564L', 0169, 0001),
('IGXEDP10I73J564L', 0169, 0002),
('IGXEDP10I73J564L', 0169, 0003),
('AOHKMV73J84Q368L', 0170, 0001),
('AOHKMV73J84Q368L', 0170, 0002),
('CGPMNF06K15T392P', 0171, 0001),
('CGPMNF06K15T392P', 0171, 0002),
('IGXEDP10I73J564L', 0172, 0001),
('KNOYAI45L56R691S', 0173, 0001),
('KNOYAI45L56R691S', 0173, 0002),
('IGXEDP10I73J564L', 0174, 0001),
('IGXEDP10I73J564L', 0174, 0002),
('IGXEDP10I73J564L', 0174, 0003),
('UJHLTI86P60P714M', 0175, 0001),
('KNOYAI45L56R691S', 0176, 0001),
('AOHKMV73J84Q368L', 0177, 0001),
('XKDCTP56B47P209H', 0178, 0001),
('XCATMI90N20B604S', 0178, 0002),
('IGXEDP10I73J564L', 0179, 0001),
('IGXEDP10I73J564L', 0179, 0002),
('AOHKMV73J84Q368L', 0180, 0001),
('AOHKMV73J84Q368L', 0180, 0002),
('XKDCTP56B47P209H', 0181, 0001),
('XKDCTP56B47P209H', 0181, 0002),
('XKDCTP56B47P209H', 0181, 0003),
('CTJOVK64H91O146H', 0182, 0001),
('NKXZYL65D42E238A', 0182, 0002),
('AOHKMV73J84Q368L', 0183, 0001),
('CTJOVK64H91O146H', 0184, 0001),
('XCATMI90N20B604S', 0185, 0001),
('XCATMI90N20B604S', 0185, 0002),
('XCATMI90N20B604S', 0185, 0003),
('XKDCTP56B47P209H', 0186, 0001),
('XKDCTP56B47P209H', 0186, 0002),
('AOHKMV73J84Q368L', 0187, 0001),
('AOHKMV73J84Q368L', 0187, 0002),
('AOHKMV73J84Q368L', 0187, 0003),
('NKXZYL65D42E238A', 0188, 0001),
('XKDCTP56B47P209H', 0188, 0002),
('XKDCTP56B47P209H', 0188, 0003),
('NKXZYL65D42E238A', 0189, 0001),
('AOHKMV73J84Q368L', 0190, 0001),
('AOHKMV73J84Q368L', 0190, 0002),
('IGXEDP10I73J564L', 0191, 0001),
('IGXEDP10I73J564L', 0191, 0002),
('XCATMI90N20B604S', 0192, 0001),
('XCATMI90N20B604S', 0192, 0002),
('NKXZYL65D42E238A', 0192, 0003),
('CGPMNF06K15T392P', 0193, 0001),
('WNHIUA46T09L765U', 0193, 0002),
('WNHIUA46T09L765U', 0193, 0003),
('WNHIUA46T09L765U', 0194, 0001),
('IGXEDP10I73J564L', 0195, 0001),
('IGXEDP10I73J564L', 0195, 0002),
('IGXEDP10I73J564L', 0196, 0001),
('GLIMAV29E31B520O', 0197, 0001),
('VGYBUT84J41H814C', 0197, 0002),
('VGYBUT84J41H814C', 0197, 0003),
('KNOYAI45L56R691S', 0198, 0001),
('KNOYAI45L56R691S', 0198, 0002),
('KNOYAI45L56R691S', 0198, 0003),
('XKDCTP56B47P209H', 0199, 0001),
('XCATMI90N20B604S', 0199, 0002),
('IOVYGZ84G25I235Q', 0200, 0001),
('NKXZYL65D42E238A', 0200, 0002),
('IOVYGZ84G25I235Q', 0200, 0003),
('XKDCTP56B47P209H', 0201, 0001),
('IOVYGZ84G25I235Q', 0202, 0001),
('CTJOVK64H91O146H', 0202, 0002),
('AOHKMV73J84Q368L', 0203, 0001),
('CGPMNF06K15T392P', 0204, 0001),
('XKDCTP56B47P209H', 0205, 0001),
('XKDCTP56B47P209H', 0206, 0001),
('NKXZYL65D42E238A', 0206, 0002),
('XKDCTP56B47P209H', 0206, 0003),
('NKXZYL65D42E238A', 0207, 0001),
('XKDCTP56B47P209H', 0207, 0002),
('XCATMI90N20B604S', 0207, 0003),
('CGPMNF06K15T392P', 0208, 0001),
('VGYBUT84J41H814C', 0208, 0002),
('UJHLTI86P60P714M', 0208, 0003),
('IGXEDP10I73J564L', 0209, 0001),
('IGXEDP10I73J564L', 0209, 0002),
('VGYBUT84J41H814C', 0210, 0001),
('TEFJVI96G02K810Z', 0211, 0001),
('TEFJVI96G02K810Z', 0211, 0002),
('TEFJVI96G02K810Z', 0211, 0003),
('UJHLTI86P60P714M', 0212, 0001),
('CGPMNF06K15T392P', 0212, 0002),
('IGXEDP10I73J564L', 0213, 0001),
('IGXEDP10I73J564L', 0213, 0002),
('IGXEDP10I73J564L', 0213, 0003),
('AOHKMV73J84Q368L', 0214, 0001),
('NKXZYL65D42E238A', 0215, 0001),
('NKXZYL65D42E238A', 0216, 0001),
('XCATMI90N20B604S', 0216, 0002),
('GLIMAV29E31B520O', 0217, 0001),
('IGXEDP10I73J564L', 0218, 0001),
('IGXEDP10I73J564L', 0218, 0002),
('IGXEDP10I73J564L', 0218, 0003),
('CTJOVK64H91O146H', 0219, 0001),
('XKDCTP56B47P209H', 0220, 0001),
('NKXZYL65D42E238A', 0220, 0002),
('XCATMI90N20B604S', 0220, 0003),
('XCATMI90N20B604S', 0221, 0001),
('TEFJVI96G02K810Z', 0222, 0001),
('IGXEDP10I73J564L', 0223, 0001),
('IGXEDP10I73J564L', 0223, 0002),
('IGXEDP10I73J564L', 0223, 0003),
('NKXZYL65D42E238A', 0224, 0001),
('XCATMI90N20B604S', 0224, 0002),
('XCATMI90N20B604S', 0224, 0003),
('AOHKMV73J84Q368L', 0225, 0001),
('AOHKMV73J84Q368L', 0225, 0002),
('AOHKMV73J84Q368L', 0225, 0003),
('WNHIUA46T09L765U', 0226, 0001),
('AOHKMV73J84Q368L', 0227, 0001),
('AOHKMV73J84Q368L', 0227, 0002),
('AOHKMV73J84Q368L', 0227, 0003),
('XKDCTP56B47P209H', 0228, 0001),
('NKXZYL65D42E238A', 0228, 0002),
('XCATMI90N20B604S', 0229, 0001),
('XCATMI90N20B604S', 0229, 0002),
('NKXZYL65D42E238A', 0230, 0001),
('CTJOVK64H91O146H', 0231, 0001),
('AOHKMV73J84Q368L', 0232, 0001),
('AOHKMV73J84Q368L', 0232, 0002),
('AOHKMV73J84Q368L', 0232, 0003),
('XKDCTP56B47P209H', 0233, 0001),
('CTJOVK64H91O146H', 0234, 0001),
('CTJOVK64H91O146H', 0234, 0002),
('AOHKMV73J84Q368L', 0235, 0001),
('NKXZYL65D42E238A', 0236, 0001),
('CTJOVK64H91O146H', 0236, 0002),
('AOHKMV73J84Q368L', 0237, 0001),
('AOHKMV73J84Q368L', 0237, 0002),
('CTJOVK64H91O146H', 0238, 0001),
('NKXZYL65D42E238A', 0238, 0002),
('IGXEDP10I73J564L', 0239, 0001),
('IGXEDP10I73J564L', 0239, 0002),
('NKXZYL65D42E238A', 0240, 0001),
('XKDCTP56B47P209H', 0241, 0001),
('XCATMI90N20B604S', 0241, 0002),
('VGYBUT84J41H814C', 0242, 0001),
('CGPMNF06K15T392P', 0243, 0001),
('VGYBUT84J41H814C', 0243, 0002),
('NKXZYL65D42E238A', 0244, 0001),
('CTJOVK64H91O146H', 0244, 0002),
('IOVYGZ84G25I235Q', 0244, 0003),
('UJHLTI86P60P714M', 0245, 0001),
('TWAJOK98R58Y714P', 0245, 0002),
('XCATMI90N20B604S', 0246, 0001),
('NKXZYL65D42E238A', 0246, 0002),
('XKDCTP56B47P209H', 0247, 0001),
('AOHKMV73J84Q368L', 0248, 0001),
('AOHKMV73J84Q368L', 0248, 0002),
('AOHKMV73J84Q368L', 0248, 0003),
('AOHKMV73J84Q368L', 0249, 0001),
('AOHKMV73J84Q368L', 0249, 0002),
('AOHKMV73J84Q368L', 0249, 0003),
('KNOYAI45L56R691S', 0250, 0001),
('AOHKMV73J84Q368L', 0250, 0002),
('TEFJVI96G02K810Z', 0250, 0003),
('NKXZYL65D42E238A', 0251, 0001),
('XKDCTP56B47P209H', 0251, 0002),
('NKXZYL65D42E238A', 0251, 0003),
('NKXZYL65D42E238A', 0252, 0001),
('XKDCTP56B47P209H', 0253, 0001),
('TEFJVI96G02K810Z', 0254, 0001),
('TEFJVI96G02K810Z', 0254, 0002),
('AOHKMV73J84Q368L', 0254, 0003),
('CTJOVK64H91O146H', 0255, 0001),
('NKXZYL65D42E238A', 0256, 0001),
('VGYBUT84J41H814C', 0257, 0001),
('TWAJOK98R58Y714P', 0258, 0001),
('IGXEDP10I73J564L', 0259, 0001),
('IGXEDP10I73J564L', 0259, 0002),
('IGXEDP10I73J564L', 0259, 0003),
('AOHKMV73J84Q368L', 0260, 0001),
('AOHKMV73J84Q368L', 0260, 0002),
('AOHKMV73J84Q368L', 0260, 0003),
('AOHKMV73J84Q368L', 0261, 0001),
('IGXEDP10I73J564L', 0262, 0001),
('IGXEDP10I73J564L', 0262, 0002),
('IGXEDP10I73J564L', 0262, 0003),
('XKDCTP56B47P209H', 0263, 0001),
('TWAJOK98R58Y714P', 0264, 0001),
('NKXZYL65D42E238A', 0265, 0001),
('XCATMI90N20B604S', 0265, 0002),
('XCATMI90N20B604S', 0265, 0003),
('AOHKMV73J84Q368L', 0266, 0001),
('AOHKMV73J84Q368L', 0266, 0002),
('CTJOVK64H91O146H', 0267, 0001),
('IOVYGZ84G25I235Q', 0267, 0002),
('CTJOVK64H91O146H', 0267, 0003),
('IOVYGZ84G25I235Q', 0268, 0001),
('IOVYGZ84G25I235Q', 0268, 0002),
('UJHLTI86P60P714M', 0269, 0001),
('CTJOVK64H91O146H', 0270, 0001),
('XKDCTP56B47P209H', 0271, 0001),
('CTJOVK64H91O146H', 0272, 0001),
('IOVYGZ84G25I235Q', 0272, 0002),
('XKDCTP56B47P209H', 0273, 0001),
('XCATMI90N20B604S', 0273, 0002),
('NKXZYL65D42E238A', 0274, 0001),
('XKDCTP56B47P209H', 0274, 0002),
('CTJOVK64H91O146H', 0275, 0001),
('AOHKMV73J84Q368L', 0276, 0001),
('AOHKMV73J84Q368L', 0277, 0001),
('AOHKMV73J84Q368L', 0277, 0002),
('XCATMI90N20B604S', 0278, 0001),
('XKDCTP56B47P209H', 0278, 0002),
('XKDCTP56B47P209H', 0278, 0003),
('VGYBUT84J41H814C', 0279, 0001),
('CTJOVK64H91O146H', 0279, 0002),
('CTJOVK64H91O146H', 0280, 0001),
('CTJOVK64H91O146H', 0280, 0002),
('IGXEDP10I73J564L', 0281, 0001),
('CTJOVK64H91O146H', 0282, 0001),
('AOHKMV73J84Q368L', 0283, 0001),
('AOHKMV73J84Q368L', 0283, 0002),
('AOHKMV73J84Q368L', 0283, 0003),
('CTJOVK64H91O146H', 0284, 0001),
('CTJOVK64H91O146H', 0284, 0002),
('CTJOVK64H91O146H', 0285, 0001),
('CTJOVK64H91O146H', 0285, 0002),
('CTJOVK64H91O146H', 0285, 0003),
('TWAJOK98R58Y714P', 0286, 0001),
('GLIMAV29E31B520O', 0286, 0002),
('GLIMAV29E31B520O', 0286, 0003),
('IGXEDP10I73J564L', 0287, 0001),
('IGXEDP10I73J564L', 0287, 0002),
('IGXEDP10I73J564L', 0287, 0003),
('AOHKMV73J84Q368L', 0288, 0001),
('AOHKMV73J84Q368L', 0288, 0002),
('AOHKMV73J84Q368L', 0288, 0003),
('IGXEDP10I73J564L', 0289, 0001),
('IGXEDP10I73J564L', 0289, 0002),
('IGXEDP10I73J564L', 0289, 0003),
('AOHKMV73J84Q368L', 0290, 0001),
('IGXEDP10I73J564L', 0291, 0001),
('IOVYGZ84G25I235Q', 0292, 0001),
('AOHKMV73J84Q368L', 0293, 0001),
('IGXEDP10I73J564L', 0294, 0001),
('IGXEDP10I73J564L', 0294, 0002),
('IGXEDP10I73J564L', 0294, 0003),
('VGYBUT84J41H814C', 0295, 0001),
('CTJOVK64H91O146H', 0295, 0002),
('VGYBUT84J41H814C', 0296, 0001),
('IGXEDP10I73J564L', 0297, 0001),
('IOVYGZ84G25I235Q', 0298, 0001),
('NKXZYL65D42E238A', 0298, 0002),
('IOVYGZ84G25I235Q', 0298, 0003),
('TWAJOK98R58Y714P', 0299, 0001),
('CGPMNF06K15T392P', 0299, 0002),
('WNHIUA46T09L765U', 0300, 0001),
('UJHLTI86P60P714M', 0300, 0002),
('XKDCTP56B47P209H', 0301, 0001),
('XKDCTP56B47P209H', 0301, 0002),
('XKDCTP56B47P209H', 0301, 0003),
('NKXZYL65D42E238A', 0302, 0001),
('CTJOVK64H91O146H', 0303, 0001),
('WNHIUA46T09L765U', 0303, 0002),
('WNHIUA46T09L765U', 0303, 0003),
('UJHLTI86P60P714M', 0304, 0001),
('AOHKMV73J84Q368L', 0305, 0001),
('AOHKMV73J84Q368L', 0305, 0002),
